{'outOfRailTime': 0.2806015345455888, 'outOfRailVelocity': 16.13480890055026, 'apogeeTime': 25.065817552032605, 'apogeeAltitude': 2673.41521003055, 'apogeeX': 484.77515788110844, 'apogeeY': 66.50415976223242, 'impactTime': 183.99545498663701, 'impactX': 751.2603766357377, 'impactY': 52.16696671511411, 'impactVelocity': -9.437972330431213, 'initialStaticMargin': 1.6927187630919942, 'outOfRailStaticMargin': 1.7407379404377754, 'finalStaticMargin': 2.4730595727321036, 'numberOfEvents': 2, 'executionTime': 2.046875, 'maxVelocity': 214.5946254149264, 'drogueTriggerTime': 23.580952380952382, 'drogueInflatedTime': 24.03641659506704, 'drogueInflatedVelocity': 21.43661658536545}
{'outOfRailTime': 0.3030178063120892, 'outOfRailVelocity': 16.91947746478512, 'apogeeTime': 26.892430846303334, 'apogeeAltitude': 3129.8469739540906, 'apogeeX': 700.1548726407572, 'apogeeY': 366.26451920963683, 'impactTime': 216.01446973504915, 'impactX': 998.7890858239309, 'impactY': 464.9432921366323, 'impactVelocity': -8.42227659271035, 'initialStaticMargin': 2.21263982533124, 'outOfRailStaticMargin': 2.238799961500416, 'finalStaticMargin': 2.6744752353934538, 'numberOfEvents': 2, 'executionTime': 2.140625, 'maxVelocity': 240.85839505129934, 'drogueTriggerTime': 25.46666666666667, 'drogueInflatedTime': 26.182146882782423, 'drogueInflatedVelocity': 29.863299763542962}
{'outOfRailTime': 0.29322792041404894, 'outOfRailVelocity': 16.58279401794598, 'apogeeTime': 28.659007191340468, 'apogeeAltitude': 3566.354679010148, 'apogeeX': 666.5503021211418, 'apogeeY': 257.24609293959617, 'impactTime': 245.3153815671694, 'impactX': 1110.2894843449812, 'impactY': 113.3889099773474, 'impactVelocity': -7.936707229979796, 'initialStaticMargin': 2.0535408405754065, 'outOfRailStaticMargin': 2.107952999603801, 'finalStaticMargin': 3.1432971440626627, 'numberOfEvents': 2, 'executionTime': 2.390625, 'maxVelocity': 257.39037343500866, 'drogueTriggerTime': 27.24761904761905, 'drogueInflatedTime': 27.541589524271828, 'drogueInflatedVelocity': 26.557382288171347}
{'outOfRailTime': 0.34278296063989305, 'outOfRailVelocity': 14.041972280360612, 'apogeeTime': 25.485119646487735, 'apogeeAltitude': 2552.881629431386, 'apogeeX': 529.0940496693323, 'apogeeY': 232.70050652660885, 'impactTime': 176.86357780282776, 'impactX': 654.4176912061475, 'impactY': 306.79808269338935, 'impactVelocity': -9.380693792819264, 'initialStaticMargin': 1.3952476420400535, 'outOfRailStaticMargin': 1.4343579392297205, 'finalStaticMargin': 2.0861326230828245, 'numberOfEvents': 2, 'executionTime': 1.546875, 'maxVelocity': 200.35365653968066, 'drogueTriggerTime': 24.028571428571432, 'drogueInflatedTime': 24.54529501954878, 'drogueInflatedVelocity': 25.42904781513394}
{'outOfRailTime': 0.2610676287198541, 'outOfRailVelocity': 20.39064432328799, 'apogeeTime': 31.24764508412258, 'apogeeAltitude': 4627.662601123265, 'apogeeX': 655.429306642496, 'apogeeY': 204.61441481891214, 'impactTime': 288.4464827085108, 'impactX': 1951.97815398082, 'impactY': 451.1634998990367, 'impactVelocity': -8.097194068360913, 'initialStaticMargin': 1.5974360086793264, 'outOfRailStaticMargin': 1.6350540476462354, 'finalStaticMargin': 2.350742118343382, 'numberOfEvents': 2, 'executionTime': 2.828125, 'maxVelocity': 320.34487534625134, 'drogueTriggerTime': 28.828571428571433, 'drogueInflatedTime': 30.51311916194714, 'drogueInflatedVelocity': 22.60968440890618}
{'outOfRailTime': 0.28846066976255835, 'outOfRailVelocity': 18.258219127342684, 'apogeeTime': 28.53598468892328, 'apogeeAltitude': 3671.2447756068577, 'apogeeX': 682.6161724961526, 'apogeeY': 239.75818966476893, 'impactTime': 245.70418085022388, 'impactX': 1227.1011562075455, 'impactY': 342.3121734300818, 'impactVelocity': -8.490637250672082, 'initialStaticMargin': 2.729315787483359, 'outOfRailStaticMargin': 2.7704278070376076, 'finalStaticMargin': 3.4789774437744123, 'numberOfEvents': 2, 'executionTime': 2.421875, 'maxVelocity': 265.8715021796124, 'drogueTriggerTime': 27.04761904761905, 'drogueInflatedTime': 28.622332956858983, 'drogueInflatedVelocity': 25.3758373222878}
{'outOfRailTime': 0.3039696521846428, 'outOfRailVelocity': 15.49579283809327, 'apogeeTime': 27.03527944174955, 'apogeeAltitude': 3086.5031263400706, 'apogeeX': 623.0267565852214, 'apogeeY': 288.97558316801684, 'impactTime': 207.02178230488164, 'impactX': 999.7640594854317, 'impactY': 158.3992677164791, 'impactVelocity': -9.013830374948174, 'initialStaticMargin': 2.7247674611279447, 'outOfRailStaticMargin': 2.7527977661504193, 'finalStaticMargin': 3.2198329893859565, 'numberOfEvents': 2, 'executionTime': 1.828125, 'maxVelocity': 227.85828593189913, 'drogueTriggerTime': 25.742857142857144, 'drogueInflatedTime': 27.397189169938475, 'drogueInflatedVelocity': 26.328010139664247}
{'outOfRailTime': 0.41162874781129566, 'outOfRailVelocity': 11.515517001770295, 'apogeeTime': 21.804538974567084, 'apogeeAltitude': 1665.235472977819, 'apogeeX': 463.01818293742, 'apogeeY': 217.39152428211386, 'impactTime': 146.37808865117967, 'impactX': 584.8447474540076, 'impactY': 207.65732696816613, 'impactVelocity': -8.613654973827556, 'initialStaticMargin': 2.121899730884165, 'outOfRailStaticMargin': 2.1679692257553587, 'finalStaticMargin': 2.8656763797353273, 'numberOfEvents': 2, 'executionTime': 1.015625, 'maxVelocity': 150.278224833901, 'drogueTriggerTime': 20.64761904761905, 'drogueInflatedTime': 21.224845478458178, 'drogueInflatedVelocity': 27.32808097072592}
{'outOfRailTime': 0.3382974599248834, 'outOfRailVelocity': 16.236476846219656, 'apogeeTime': 27.086891708306545, 'apogeeAltitude': 3060.766591509235, 'apogeeX': 569.023079900144, 'apogeeY': 187.93340678812282, 'impactTime': 227.85168140054685, 'impactX': 1009.3973927750454, 'impactY': 83.04857701760679, 'impactVelocity': -7.890356386881827, 'initialStaticMargin': 2.664907285040188, 'outOfRailStaticMargin': 2.711370220790242, 'finalStaticMargin': 3.5081835594843414, 'numberOfEvents': 2, 'executionTime': 2.28125, 'maxVelocity': 231.15439936299558, 'drogueTriggerTime': 25.552380952380954, 'drogueInflatedTime': 26.001027179158186, 'drogueInflatedVelocity': 24.068427231775637}
{'outOfRailTime': 0.30295893591075806, 'outOfRailVelocity': 15.753828037167313, 'apogeeTime': 25.107011233982163, 'apogeeAltitude': 2686.7003317555877, 'apogeeX': 566.1202284342241, 'apogeeY': 263.1247280200881, 'impactTime': 191.34426509469677, 'impactX': 758.260196486799, 'impactY': 93.5074104755191, 'impactVelocity': -9.388471058299746, 'initialStaticMargin': 1.2607378889817578, 'outOfRailStaticMargin': 1.3116308886196295, 'finalStaticMargin': 2.150227293230228, 'numberOfEvents': 2, 'executionTime': 1.59375, 'maxVelocity': 218.1575926123339, 'drogueTriggerTime': 23.580952380952382, 'drogueInflatedTime': 24.94194925444476, 'drogueInflatedVelocity': 25.10649860778937}
{'outOfRailTime': 0.3113491354026048, 'outOfRailVelocity': 15.446056966015412, 'apogeeTime': 27.78965033322007, 'apogeeAltitude': 3205.049215446774, 'apogeeX': 544.8521734628481, 'apogeeY': 45.570503691561306, 'impactTime': 213.32560814938535, 'impactX': 946.4014349817973, 'impactY': -3.660955911104732, 'impactVelocity': -9.412630212076845, 'initialStaticMargin': 2.4627402537958663, 'outOfRailStaticMargin': 2.4947525027413415, 'finalStaticMargin': 3.0453570676515005, 'numberOfEvents': 2, 'executionTime': 1.96875, 'maxVelocity': 231.0314712641353, 'drogueTriggerTime': 26.08571428571429, 'drogueInflatedTime': 26.80781478579235, 'drogueInflatedVelocity': 21.86553979998147}
{'outOfRailTime': 0.3094124738679608, 'outOfRailVelocity': 16.017882587416185, 'apogeeTime': 24.447153108321377, 'apogeeAltitude': 2487.137153599229, 'apogeeX': 527.8223166397993, 'apogeeY': 199.59697503844495, 'impactTime': 182.1600822922064, 'impactX': 766.2226919130136, 'impactY': 307.44965847876335, 'impactVelocity': -8.795682911215835, 'initialStaticMargin': 1.8351709800662617, 'outOfRailStaticMargin': 1.8842750352158362, 'finalStaticMargin': 2.633178275812695, 'numberOfEvents': 2, 'executionTime': 1.65625, 'maxVelocity': 208.00834946131604, 'drogueTriggerTime': 22.714285714285715, 'drogueInflatedTime': 22.765538683212643, 'drogueInflatedVelocity': 27.35937250563723}
{'outOfRailTime': 0.30622664653285503, 'outOfRailVelocity': 16.841109753921817, 'apogeeTime': 27.293046823324275, 'apogeeAltitude': 3249.785125125327, 'apogeeX': 823.6259464807252, 'apogeeY': 380.76362677792577, 'impactTime': 223.25818296986384, 'impactX': 1110.2902706286068, 'impactY': 396.7621801282342, 'impactVelocity': -8.665356241372118, 'initialStaticMargin': 1.4563689972913318, 'outOfRailStaticMargin': 1.496162871167283, 'finalStaticMargin': 2.1966804161984976, 'numberOfEvents': 2, 'executionTime': 1.96875, 'maxVelocity': 247.78677158104608, 'drogueTriggerTime': 25.771428571428572, 'drogueInflatedTime': 27.024648177161918, 'drogueInflatedVelocity': 33.14095361174937}
{'outOfRailTime': 0.35234721056846846, 'outOfRailVelocity': 14.31000074491372, 'apogeeTime': 26.485341133715977, 'apogeeAltitude': 2766.31839895016, 'apogeeX': 392.3164597446877, 'apogeeY': -12.631484216313984, 'impactTime': 184.49619393686208, 'impactX': 907.8657725619328, 'impactY': 76.80178713267782, 'impactVelocity': -9.604052466679935, 'initialStaticMargin': 2.5250935458242796, 'outOfRailStaticMargin': 2.5650632569187017, 'finalStaticMargin': 3.246410480775931, 'numberOfEvents': 2, 'executionTime': 1.625, 'maxVelocity': 207.53100759411595, 'drogueTriggerTime': 24.80952380952381, 'drogueInflatedTime': 25.804128343321747, 'drogueInflatedVelocity': 16.890660520623033}
{'outOfRailTime': 0.2521301182079698, 'outOfRailVelocity': 20.546406290626333, 'apogeeTime': 32.61275042353817, 'apogeeAltitude': 5056.363180228222, 'apogeeX': 880.3649836893052, 'apogeeY': 287.14573581445507, 'impactTime': 306.5109451519034, 'impactX': 2542.3631222709805, 'impactY': 594.1478606527758, 'impactVelocity': -8.179281006652518, 'initialStaticMargin': 1.7873326180738618, 'outOfRailStaticMargin': 1.8181337692506951, 'finalStaticMargin': 2.4366139166314396, 'numberOfEvents': 2, 'executionTime': 2.953125, 'maxVelocity': 339.63610536492, 'drogueTriggerTime': 30.019047619047623, 'drogueInflatedTime': 31.046992507487968, 'drogueInflatedVelocity': 30.633591644195167}
{'outOfRailTime': 0.32874793449315654, 'outOfRailVelocity': 16.409988529099383, 'apogeeTime': 25.96296737533269, 'apogeeAltitude': 2811.7325830575824, 'apogeeX': 620.2202980729933, 'apogeeY': 216.57499829690354, 'impactTime': 186.40437749248076, 'impactX': 829.4029675828567, 'impactY': 63.80087382320974, 'impactVelocity': -9.293013272491265, 'initialStaticMargin': 1.9526025457184308, 'outOfRailStaticMargin': 1.9963365806777855, 'finalStaticMargin': 2.6701143936960707, 'numberOfEvents': 2, 'executionTime': 1.46875, 'maxVelocity': 218.45844854417555, 'drogueTriggerTime': 24.41904761904762, 'drogueInflatedTime': 25.14167299316233, 'drogueInflatedVelocity': 26.62484424145494}
{'outOfRailTime': 0.2634156938537743, 'outOfRailVelocity': 18.10219412701616, 'apogeeTime': 29.562958336401323, 'apogeeAltitude': 3878.2796835965246, 'apogeeX': 815.8726736377864, 'apogeeY': 360.03690416518265, 'impactTime': 242.35254782380215, 'impactX': 1603.19162741918, 'impactY': 551.5105078437367, 'impactVelocity': -8.769364300699324, 'initialStaticMargin': 1.9497696982810528, 'outOfRailStaticMargin': 1.984406106766292, 'finalStaticMargin': 2.569818218504266, 'numberOfEvents': 2, 'executionTime': 2.03125, 'maxVelocity': 268.475459899753, 'drogueTriggerTime': 28.05714285714286, 'drogueInflatedTime': 28.659995229909768, 'drogueInflatedVelocity': 31.31389423265877}
{'outOfRailTime': 0.3443214486102918, 'outOfRailVelocity': 15.443994444372562, 'apogeeTime': 27.74649500430773, 'apogeeAltitude': 3210.405655222822, 'apogeeX': 707.1090265933748, 'apogeeY': 263.7335010644961, 'impactTime': 223.52926119271922, 'impactX': 1181.9450025037338, 'impactY': 154.57786635615446, 'impactVelocity': -8.92561393374145, 'initialStaticMargin': 1.5653851007109836, 'outOfRailStaticMargin': 1.6190070806668495, 'finalStaticMargin': 2.6324775446387605, 'numberOfEvents': 2, 'executionTime': 2.015625, 'maxVelocity': 236.43722603584237, 'drogueTriggerTime': 26.523809523809526, 'drogueInflatedTime': 27.87929098159549, 'drogueInflatedVelocity': 27.99403490294279}
{'outOfRailTime': 0.32759174038058786, 'outOfRailVelocity': 15.374878573810706, 'apogeeTime': 23.568888850459004, 'apogeeAltitude': 2250.639167973363, 'apogeeX': 421.3612416374421, 'apogeeY': 102.14907348448031, 'impactTime': 161.47812169105993, 'impactX': 785.7301519637983, 'impactY': 223.73530635502442, 'impactVelocity': -9.534179378870665, 'initialStaticMargin': 0.6505087513998433, 'outOfRailStaticMargin': 0.6924705629613636, 'finalStaticMargin': 1.2847991662706795, 'numberOfEvents': 2, 'executionTime': 1.5, 'maxVelocity': 190.26268904249582, 'drogueTriggerTime': 22.000000000000004, 'drogueInflatedTime': 22.71921735633941, 'drogueInflatedVelocity': 20.34394390839341}
